"","name","year","mean_RSV","mean_1y","mean_1a4","mean_5a14","mean_15a54","mean_55a64","mean_65","total_RSV","total_1y","total_1a4","total_5a14","total_15a54","total_55a64","total_65","total_tested","test_positivity","Population","positive_rate","total_RSV_by_Population"
"1","Aisén del General Carlos Ibáñez del Campo","2015",1.54,0.85,0.6,0.08,0,0.02,0,80,44,31,4,0,1,0,498,0.160642570281124,103158,0.160642570281124,0.000775509412745497
"2","Aisén del General Carlos Ibáñez del Campo","2016",1.31,0.79,0.46,0.02,0,0,0.04,68,41,24,1,0,0,2,522,0.130268199233716,103158,0.130268199233716,0.000659183000833673
"3","Aisén del General Carlos Ibáñez del Campo","2017",2.1,1.15,0.83,0.04,0.02,0.02,0.04,109,60,43,2,1,1,2,634,0.17192429022082,103158,0.17192429022082,0.00105663157486574
"4","Aisén del General Carlos Ibáñez del Campo","2018",0.79,0.5,0.29,0,0,0,0,41,26,15,0,0,0,0,225,0.182222222222222,103158,0.182222222222222,0.000397448574032067
"5","Aisén del General Carlos Ibáñez del Campo","2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,103158,0,0
"6","Antofagasta","2015",0.29,0.19,0.1,0,0,0,0,15,10,5,0,0,0,0,254,0.0590551181102362,607534,0.0590551181102362,2.46899761988629e-05
"7","Antofagasta","2016",0.98,0.75,0.19,0.02,0,0,0.02,51,39,10,1,0,0,1,382,0.133507853403141,607534,0.133507853403141,8.3945919076134e-05
"8","Antofagasta","2017",1.04,0.63,0.33,0.04,0.02,0.02,0,54,33,17,2,1,1,0,414,0.130434782608696,607534,0.130434782608696,8.88839143159066e-05
"9","Antofagasta","2018",0.38,0.27,0.08,0,0,0.02,0.02,20,14,4,0,0,1,1,251,0.0796812749003984,607534,0.0796812749003984,3.29199682651506e-05
"10","Antofagasta","2019",0.29,0.15,0.1,0.02,0,0,0.02,15,8,5,1,0,0,1,289,0.0519031141868512,607534,0.0519031141868512,2.46899761988629e-05
"11","Arica y Parinacota","2015",0.67,0.46,0.21,0,0,0,0,35,24,11,0,0,0,0,323,0.108359133126935,226068,0.108359133126935,0.000154820673425695
"12","Arica y Parinacota","2016",0.88,0.6,0.27,0.02,0,0,0,46,31,14,1,0,0,0,372,0.123655913978495,226068,0.123655913978495,0.000203478599359485
