"","2015","2016","2017","2018","2019"
"1",0.004,0.006,0,0.011,0.008
"2",0,0.012,0.009,0.013,0.015
"3",0.012,0.008,0.004,0.012,0.015
"4",0,0,0.005,0.022,0.018
"5",0.004,0.009,0,0.013,0
"6",0,0.032,0,0.009,0.024
"7",0,0.027,0.004,0.013,0.008
"8",0,0.011,0.005,0,0.012
"9",0.009,0.022,0.005,0,0.004
"10",0.003,0.016,0,0.003,0.011
"11",0,0.028,0.01,0.005,0.006
"12",0.006,0.021,0.018,0.008,0.015
"13",0,0.013,0.031,0.007,0.008
"14",0.005,0.025,0.034,0.019,0.009
"15",0.013,0.013,0.04,0.018,0.025
"16",0.011,0.031,0.084,0.031,0.025
"17",0.017,0.028,0.086,0.064,0.041
"18",0.018,0.076,0.106,0.08,0.046
"19",0.031,0.105,0.102,0.094,0.058
"20",0.031,0.116,0.112,0.132,0.064
"21",0.091,0.159,0.142,0.166,0.081
"22",0.091,0.213,0.147,0.206,0.087
"23",0.159,0.253,0.176,0.229,0.099
"24",0.192,0.301,0.2,0.275,0.14
"25",0.268,0.343,0.234,0.327,0.194
"26",0.29,0.297,0.284,0.355,0.273
"27",0.388,0.333,0.343,0.365,0.276
"28",0.396,0.324,0.346,0.364,0.308
"29",0.37,0.321,0.337,0.339,0.336
"30",0.407,0.25,0.3,0.309,0.339
"31",0.356,0.275,0.257,0.253,0.348
"32",0.341,0.223,0.252,0.249,0.313
"33",0.302,0.213,0.245,0.23,0.271
"34",0.26,0.202,0.186,0.19,0.252
"35",0.235,0.162,0.173,0.138,0.201
"36",0.198,0.114,0.112,0.116,0.155
"37",0.171,0.084,0.081,0.109,0.142
"38",0.158,0.067,0.068,0.103,0.112
"39",0.125,0.052,0.057,0.063,0.11
"40",0.095,0.043,0.045,0.04,0.061
"41",0.086,0.029,0.041,0.039,0.041
"42",0.063,0.025,0.028,0.028,0.03
"43",0.068,0.015,0.029,0.015,0.028
"44",0.024,0.016,0.02,0.015,0.039
"45",0.038,0.023,0.025,0.019,0.027
"46",0.024,0.023,0.01,0.013,0.011
"47",0.025,0.016,0.023,0.01,0.019
"48",0.029,0.018,0.01,0.008,0.014
"49",0.002,0.006,0.014,0.005,0.009
"50",0.02,0.01,0.012,0.011,0.006
"51",0.016,0.01,0.015,0.006,0.006
"52",0.015,0.006,0.007,0.018,0.003
