Region,Date,Year,Week,Total Tests,Total RSV,Test Positivity Rate,PM2.5,PM10,SO2,O3,NO2,Max.Temp,Min.Temp,Temp.Range,Avg.Temp,Prcp,RH,WS,AP
Antofagasta,2015/1/4,2015,1,3,0,0,10.771775,36.31210321,18.74658077,32.73539815,10.01866946,25.35,10.05,15.3,17.8,0,43.94791667,9.984375,884.5744792
Antofagasta,2015/1/11,2015,2,1,0,0,11.10814375,45.33091571,19.69288719,41.90310828,11.38501774,25.55,11.1,14.45,18.5,0,42.078125,10.515625,884.5888021
Antofagasta,2015/1/18,2015,3,2,0,0,12.23156708,48.56737911,21.28044025,45.38282,11.70362416,24.35,10.5,13.85,17.36875,0,42.22135417,10.22135417,885.6125
Antofagasta,2015/1/25,2015,4,3,0,0,11.18182833,35.98285375,13.66936203,37.06166132,11.6197153,24.3,10.3,14,17.41875,0,47.64583333,10.25208333,885.9791667
Antofagasta,2015/2/1,2015,5,4,0,0,11.18163944,41.95307857,18.75765502,31.84066305,13.66569309,25.4,11.5,13.9,18.63125,0,53.89322917,10.0859375,884.3809896
Antofagasta,2015/2/8,2015,6,2,0,0,11.73958971,45.06608732,16.7739271,31.34070135,12.57274546,25.75,13.15,12.6,18.8125,0,59.97135417,9.809895833,884.5575521
Antofagasta,2015/2/15,2015,7,2,0,0,12.88884704,48.56855768,20.44691697,30.24875718,16.56620856,25.5,12.65,12.85,18.725,0,63.45052083,9.190104167,885.5317708
Antofagasta,2015/2/22,2015,8,1,0,0,15.42753175,52.18607036,18.47720195,33.12897963,17.67639814,25.5,10.75,14.75,17.9375,0,55.98697917,9.723958333,885.2544271
Antofagasta,2015/3/1,2015,9,2,0,0,13.27239267,38.35013857,10.7064439,26.679569,15.14745164,25,10.3,14.7,17.61875,0,57.24479167,10.08333333,885.2315104
Antofagasta,2015/3/8,2015,10,1,0,0,13.08711025,46.41106911,12.01392665,25.0012161,16.59929245,24.5,10.2,14.3,17.09375,0,58.51460598,10.04427083,884.4630208
Antofagasta,2015/3/15,2015,11,1,0,0,15.60873542,64.12770661,17.38648973,31.56119278,20.39878161,25.45,11.7,13.75,18.35,0,60.8203125,9.651041667,882.7692708
Antofagasta,2015/3/22,2015,12,1,0,0,13.09220563,57.58063321,13.49254273,30.24908058,20.10179331,24.25,12.95,11.3,18.2375,0,67.01302083,8.630208333,885.3411458
Antofagasta,2015/3/29,2015,13,1,0,0,12.13721888,45.72961054,18.59994649,21.96191638,20.70577845,23.55,10.75,12.8,17.10625,20.65,73.8046875,8.484375,886.3677083
Antofagasta,2015/4/5,2015,14,3,0,0,13.09549773,53.04926679,20.12894427,31.124065,21.43201634,24.15,10.7,13.45,16.79375,0,52.3984375,9.174479167,885.7320313
Antofagasta,2015/4/12,2015,15,4,0,0,14.82769427,61.77758071,13.59351884,29.81798225,22.49339265,24.4,9.3,15.1,16.74375,0,48.015625,9.143229167,884.0382813
Antofagasta,2015/4/19,2015,16,2,0,0,15.61485281,59.92981214,9.98040137,26.40804898,22.60673445,23.9,10.2,13.7,16.6,0,50.52864583,8.958333333,885.9216146
Antofagasta,2015/4/26,2015,17,4,0,0,17.77704813,70.28851661,12.67837331,23.7320671,26.64300398,23.95,8.6,15.35,16.0875,0,46.98697917,9.671875,885.4916667
Antofagasta,2015/5/3,2015,18,2,1,0.5,20.87352388,76.95182964,12.70134604,22.75138723,25.68138833,24.65,9.2,15.45,15.99375,0,51.4453125,8.841145833,884.9161458
Antofagasta,2015/5/10,2015,19,5,0,0,20.072499,69.35544589,11.78971901,15.5599304,28.73441079,24.8,7.85,16.95,14.94375,0,47.85824275,9.673120471,885.4369452
Antofagasta,2015/5/17,2015,20,3,0,0,22.09141233,77.37978732,13.33548953,17.3749345,31.24758105,22.45,6.35,16.1,14.0875,0,43.3671875,9.302083333,885.4377604
Antofagasta,2015/5/24,2015,21,6,1,0.166666667,21.16588577,63.08616643,9.686790496,18.13596208,27.596191,22.3,6.7,15.6,14.225,0,44.88541667,9.661458333,887.4398438
Antofagasta,2015/5/31,2015,22,6,1,0.166666667,25.13127869,77.12057375,10.56087105,15.65143545,33.47441168,22.05,6.45,15.6,13.575,0,47.5381567,9.829483696,886.8509058
Antofagasta,2015/6/7,2015,23,6,1,0.166666667,25.1332989,84.84365875,13.1195714,11.30256785,34.84757895,25.1,5.45,19.65,13.475,0,38.44010417,10.0078125,886.4122396
Antofagasta,2015/6/14,2015,24,6,0,0,20.68497073,62.81574571,9.093244973,15.23676683,29.1163778,21.75,6.15,15.6,12.99375,0,42.51302083,10.2734375,887.0002604
Antofagasta,2015/6/21,2015,25,9,1,0.111111111,31.44909188,83.09437304,14.15501865,16.66972773,38.63170993,23,5.05,17.95,13.4109375,0,41.68340774,10.48102679,885.305878
Antofagasta,2015/6/28,2015,26,2,1,0.5,27.55606875,84.70820232,12.30128146,20.77886038,38.57552143,22.8,7.45,15.35,13.7375,0,41.77468297,10.71637228,885.9222713
Antofagasta,2015/7/5,2015,27,7,0,0,29.16439583,84.07244464,15.33605636,31.32529575,37.8450439,20.45,6.35,14.1,12.6875,0,42.75520833,9.606770833,885.5364583
Antofagasta,2015/7/12,2015,28,5,1,0.2,22.51612833,66.22373161,11.58374156,10.1364977,34.28975157,20.6,3.95,16.65,11.2875,0,42.44701087,10.15104167,886.7
Antofagasta,2015/7/19,2015,29,6,0,0,18.66843469,57.9779275,9.559963994,17.31894955,27.05492244,19.75,2.1,17.65,10.63125,0.1,41.46263587,10.44791667,887.7148438
Antofagasta,2015/7/26,2015,30,2,0,0,26.21176196,64.99648357,12.791462,16.05039223,34.17449031,22.05,4.15,17.9,11.9,0,42.953125,10.23697917,887.1606771
Antofagasta,2015/8/2,2015,31,6,2,0.333333333,19.96829802,57.22392625,10.27388804,14.70537653,27.36950648,22.85,4.5,18.35,12.7875,0,39.63020833,11.26875,885.8140625
Antofagasta,2015/8/9,2015,32,18,1,0.055555556,14.9070505,42.00078429,8.117799158,16.49225499,23.26521926,22.35,4.5,17.85,12.54375,7,45.61458333,10.3046875,884.8960938
Antofagasta,2015/8/16,2015,33,6,0,0,11.39846008,44.994885,8.082630651,18.84809194,22.35155746,19.4,3.45,15.95,10.89375,5.3,50.62239583,11.38020833,886.73125
